instance,method,parameter,value,run,seed,makespan,decode_calls,time,optimum
ft10,annealing,T0,100,5,5007,953,200000,5.576891589999832,930
ft10,annealing,T0,100,6,6007,930,200000,5.618587513000421,930
ft10,annealing,T0,100,7,7007,930,200000,5.567435531999763,930
ft10,annealing,T0,100,8,8007,971,200000,5.784553396000774,930
ft10,annealing,T0,100,9,9007,956,200000,5.689722887999778,930
ft10,vns,kmax,2,0,7,1043,200000,5.27439940000022,930
ft10,vns,kmax,2,1,1007,1023,200000,5.242082199999459,930
ft10,vns,kmax,2,2,2007,1020,200000,5.288003292999747,930
ft10,vns,kmax,2,3,3007,1041,200000,5.182190894999621,930
ft10,vns,kmax,2,4,4007,1031,200000,5.253623916999459,930
ft10,vns,kmax,2,5,5007,1035,200000,5.060835473000225,930
ft10,vns,kmax,2,6,6007,1010,200000,5.181184943000517,930
ft10,vns,kmax,2,7,7007,974,200000,4.923277158000019,930
ft10,vns,kmax,2,8,8007,1040,200000,5.065988233000098,930
ft10,vns,kmax,2,9,9007,1006,200000,5.039008255000226,930
ft10,vns,kmax,5,0,7,1043,200000,5.211615383000208,930
ft10,vns,kmax,5,1,1007,1058,200000,5.059623666999869,930
ft10,vns,kmax,5,2,2007,1008,200000,5.063423259999581,930
ft10,vns,kmax,5,3,3007,1041,200000,5.028916317000039,930
ft10,vns,kmax,5,4,4007,1036,200000,5.100792811000247,930
ft10,vns,kmax,5,5,5007,1038,200000,5.084764671999437,930
ft10,vns,kmax,5,6,6007,1054,200000,5.0837727759999325,930
ft10,vns,kmax,5,7,7007,1059,200000,5.131076384000153,930
ft10,vns,kmax,5,8,8007,1047,200000,4.771439907999593,930
ft10,vns,kmax,5,9,9007,1023,200000,5.137058145000083,930
ft10,vns,kmax,10,0,7,1008,200000,5.039087077999284,930
ft10,vns,kmax,10,1,1007,1058,200000,5.299395724000533,930
ft10,vns,kmax,10,2,2007,1008,200000,5.354418771999917,930
ft10,vns,kmax,10,3,3007,1041,200000,5.099924011999974,930
ft10,vns,kmax,10,4,4007,1036,200000,4.8770054229999005,930
ft10,vns,kmax,10,5,5007,1038,200000,5.272980579999967,930
ft10,vns,kmax,10,6,6007,1030,200000,5.461028429999715,930
ft10,vns,kmax,10,7,7007,1025,200000,5.44075531999988,930
ft10,vns,kmax,10,8,8007,1047,200000,5.550465944999814,930
ft10,vns,kmax,10,9,9007,1023,200000,5.540581528000075,930
ft10,vns,kmax,20,0,7,1008,200000,5.660958577000201,930
ft10,vns,kmax,20,1,1007,1058,200000,5.81780378700023,930
ft10,vns,kmax,20,2,2007,1008,200000,5.307333790000484,930
ft10,vns,kmax,20,3,3007,1041,200000,5.277941407000071,930
ft10,vns,kmax,20,4,4007,1036,200000,5.323162339000191,930
ft10,vns,kmax,20,5,5007,1038,200000,5.718294217999755,930
ft10,vns,kmax,20,6,6007,1030,200000,5.690752530999816,930
ft10,vns,kmax,20,7,7007,1025,200000,5.738269786999808,930
ft10,vns,kmax,20,8,8007,1047,200000,5.585882452999613,930
ft10,vns,kmax,20,9,9007,1023,200000,5.753599461000704,930
ft10,ga,population_size,20,0,7,1042,200001,15.582059059999665,930
ft10,ga,population_size,20,1,1007,991,200001,15.354587109000022,930
ft10,ga,population_size,20,2,2007,1035,200001,14.978328203999808,930
ft10,ga,population_size,20,3,3007,1037,200001,15.135072857000523,930
ft10,ga,population_size,20,4,4007,1038,200001,15.415385377999883,930
ft10,ga,population_size,20,5,5007,1010,200001,14.632740007999928,930
ft10,ga,population_size,20,6,6007,974,200001,15.00038123899958,930
ft10,ga,population_size,20,7,7007,955,200001,15.537601285999699,930
ft10,ga,population_size,20,8,8007,993,200001,14.827610162999918,930
ft10,ga,population_size,20,9,9007,1005,200001,15.044161382999846,930
ft10,ga,population_size,50,0,7,1044,200001,15.257628006000232,930
ft10,ga,population_size,50,1,1007,1025,200001,14.760279336999702,930
ft10,ga,population_size,50,2,2007,1045,200001,15.45436134800002,930
ft10,ga,population_size,50,3,3007,956,200001,15.087577128999328,930
ft10,ga,population_size,50,4,4007,1007,200001,15.682040755000344,930
ft10,ga,population_size,50,5,5007,1037,200001,15.77002831000027,930
ft10,ga,population_size,50,6,6007,1014,200001,16.130567554000663,930
ft10,ga,population_size,50,7,7007,1011,200001,15.441656488999797,930
ft10,ga,population_size,50,8,8007,1016,200001,15.560546752999471,930
ft10,ga,population_size,50,9,9007,1002,200001,15.690974278000795,930
ft10,ga,population_size,100,0,7,1044,200021,15.892865949000225,930
ft10,ga,population_size,100,1,1007,1031,200021,17.20111088700014,930
ft10,ga,population_size,100,2,2007,1026,200021,17.10443185299937,930
ft10,ga,population_size,100,3,3007,1027,200021,17.513324489000297,930
ft10,ga,population_size,100,4,4007,997,200021,17.072413975999552,930
ft10,ga,population_size,100,5,5007,1026,200021,17.063180121000187,930
ft10,ga,population_size,100,6,6007,1065,200021,16.45924860500054,930
ft10,ga,population_size,100,7,7007,1046,200021,16.648024234999866,930
ft10,ga,population_size,100,8,8007,989,200021,16.396701737000512,930
ft10,ga,population_size,100,9,9007,1018,200021,16.658218663000298,930
ft10,ga,population_size,200,0,7,1093,200121,18.947607811000125,930
ft10,ga,population_size,200,1,1007,993,200121,18.01811493200057,930
ft10,ga,population_size,200,2,2007,1113,200121,18.79938552599924,930
ft10,ga,population_size,200,3,3007,1015,200121,18.340337288999763,930
ft10,ga,population_size,200,4,4007,1023,200121,18.486441648000437,930
ft10,ga,population_size,200,5,5007,1044,200121,16.351626194000346,930
ft10,ga,population_size,200,6,6007,983,200121,17.2186690489998,930
ft10,ga,population_size,200,7,7007,990,200121,16.656649402000767,930
ft10,ga,population_size,200,8,8007,1021,200121,18.04043832000025,930
ft10,ga,population_size,200,9,9007,971,200121,17.18345129699992,930
ft10,ga,p,0.1,0,7,1037,200001,15.509648355000536,930
ft10,ga,p,0.1,1,1007,1039,200001,14.505694661000234,930
ft10,ga,p,0.1,2,2007,1047,200001,13.747416787000475,930
ft10,ga,p,0.1,3,3007,1033,200001,13.199605947000236,930
ft10,ga,p,0.1,4,4007,1062,200001,14.033062595000956,930
ft10,ga,p,0.1,5,5007,1026,200001,13.247786728999927,930
ft10,ga,p,0.1,6,6007,1062,200001,13.635325102999559,930
ft10,ga,p,0.1,7,7007,1052,200001,13.946000137000738,930
ft10,ga,p,0.1,8,8007,1084,200001,13.642733053999109,930
ft10,ga,p,0.1,9,9007,1058,200001,13.147716436000337,930
ft10,ga,p,0.3,0,7,1044,200001,14.24573139399945,930
ft10,ga,p,0.3,1,1007,1025,200001,13.481545368000297,930
ft10,ga,p,0.3,2,2007,1045,200001,15.875689761998728,930
ft10,ga,p,0.3,3,3007,956,200001,15.444375960998514,930
ft10,ga,p,0.3,4,4007,1007,200001,16.07804192599906,930
ft10,ga,p,0.3,5,5007,1037,200001,15.91391785900123,930
ft10,ga,p,0.3,6,6007,1014,200001,15.565004398999008,930
ft10,ga,p,0.3,7,7007,1011,200001,15.771811889999299,930
ft10,ga,p,0.3,8,8007,1016,200001,14.45584616800079,930
ft10,ga,p,0.3,9,9007,1002,200001,14.714810206000038,930
ft10,ga,p,0.5,0,7,1036,200001,14.965414165000766,930
ft10,ga,p,0.5,1,1007,1009,200001,13.652468611999211,930
ft10,ga,p,0.5,2,2007,1032,200001,14.73236608300067,930
ft10,ga,p,0.5,3,3007,1015,200001,14.641976820999844,930
ft10,ga,p,0.5,4,4007,976,200001,14.369792804000099,930
ft10,ga,p,0.5,5,5007,965,200001,14.58548506400075,930
ft10,ga,p,0.5,6,6007,1064,200001,13.865897446999952,930
ft10,ga,p,0.5,7,7007,984,200001,13.699042453999937,930
ft10,ga,p,0.5,8,8007,950,200001,13.832610634000957,930
ft10,ga,p,0.5,9,9007,984,200001,14.398684843999945,930
ft10,ga,p,0.7,0,7,1004,200001,14.445165735000046,930
ft10,ga,p,0.7,1,1007,1017,200001,14.254580839999107,930
ft10,ga,p,0.7,2,2007,1032,200001,14.069559667999783,930
ft10,ga,p,0.7,3,3007,960,200001,13.85125192400119,930
ft10,ga,p,0.7,4,4007,1023,200001,14.252878914001485,930
